open_time,volume,open,high,low,close
1617235200,256.834,58859.5,59161.0,58849.5,59065.0
1617236100,90.125,59065.0,59080.5,58966.0,59018.0
1617237000,41.39,59018.0,59106.0,59017.5,59073.0
1617237900,82.753,59073.0,59286.0,59073.0,59285.5
1617238800,152.619,59285.5,59346.5,59218.5,59281.0
1617239700,108.228,59281.0,59356.0,59160.5,59198.0
1617240600,116.912,59198.0,59227.5,59059.5,59099.5
1617241500,60.954,59099.5,59275.5,59090.0,59233.5
1617242400,106.676,59233.5,59336.5,59224.0,59237.5
1617243300,61.866,59237.5,59350.0,59153.0,59153.5
1617244200,49.673,59153.0,59270.0,59135.0,59193.5
1617245100,45.877,59193.5,59220.5,59153.0,59190.0
1617246000,68.24,59190.0,59190.0,59077.5,59156.5
1617246900,47.454,59156.5,59214.5,59080.0,59080.0
1617247800,49.63,59080.0,59147.0,59080.0,59147.0
1617248700,63.594,59147.0,59173.0,59056.0,59173.0
1617249600,66.553,59173.0,59244.5,59110.0,59186.0
1617250500,40.438,59186.0,59276.5,59148.5,59170.0
1617251400,40.592,59170.0,59199.0,59127.5,59127.5
1617252300,372.394,59127.5,59128.0,58722.5,58920.0
1617253200,88.755,58920.0,59010.0,58859.0,58907.5
1617254100,83.188,58907.5,58944.0,58800.0,58939.0
1617255000,47.395,58939.0,59034.5,58925.5,58952.0
1617255900,47.235,58952.0,58998.0,58890.0,58891.5
1617256800,68.627,58891.5,59016.5,58891.0,59016.5
1617257700,60.205,59016.5,59090.0,58948.5,58994.0
1617258600,41.207,58994.0,59076.0,58968.0,58988.0
1617259500,151.697,58988.0,59053.0,58772.0,58837.5
1617260400,210.951,58837.5,58837.5,58611.0,58776.5
1617261300,112.503,58776.5,58969.5,58776.5,58942.5
1617262200,43.743,58942.5,58960.5,58848.0,58848.0
1617263100,165.371,58848.0,58965.5,58756.5,58880.0
1617264000,148.944,58880.0,59141.5,58880.0,59121.5
1617264900,668.076,59121.5,59496.0,59060.0,59340.5
1617265800,210.328,59340.5,59340.5,59182.5,59212.5
1617266700,595.915,59212.5,59250.0,58637.0,58922.0
1617267600,280.721,58922.0,59315.5,58922.0,59220.5
1617268500,117.774,59220.5,59223.0,59029.5,59095.5
1617269400,134.182,59095.5,59096.0,58880.5,58981.5
1617270300,122.907,58981.5,59019.0,58840.0,58932.0
1617271200,121.551,58932.0,59044.0,58840.0,58890.0
1617272100,151.324,58890.0,58890.0,58793.5,58813.0
1617273000,324.726,58813.0,58904.0,58621.5,58800.5
1617273900,164.113,58800.5,58875.0,58650.0,58718.0
1617274800,606.063,58718.0,58718.0,58200.0,58533.5
1617275700,237.896,58533.5,58534.0,58283.5,58468.0
1617276600,167.208,58468.0,58668.0,58450.0,58668.0
1617277500,323.675,58668.0,58770.0,58558.5,58649.5
1617278400,222.281,58649.5,58778.0,58465.0,58692.0
1617279300,120.591,58692.0,58747.0,58650.0,58734.0
1617280200,108.097,58734.0,58738.0,58567.0,58567.0
1617281100,195.223,58567.0,58775.0,58565.0,58775.0
1617282000,501.818,58775.0,59104.0,58774.5,58918.5
1617282900,140.542,58918.5,58968.5,58816.0,58941.5
1617283800,166.863,58941.5,59100.0,58871.5,58985.0
1617284700,128.124,58985.0,59047.5,58898.0,58923.5
1617285600,148.203,58923.5,58950.0,58788.0,58893.0
1617286500,150.637,58893.0,59040.5,58892.5,58994.5
1617287400,108.47,58994.5,58995.0,58889.5,58961.5
1617288300,75.841,58961.5,58988.0,58873.5,58967.0
1617289200,110.363,58967.0,59050.0,58959.5,58981.0
1617290100,213.356,58981.0,59229.0,58980.5,59049.0
1617291000,102.568,59049.0,59110.0,58950.0,58988.5
1617291900,73.539,58988.5,59012.5,58957.0,58964.5
1617292800,436.107,58964.5,59123.0,58795.0,58980.5
1617293700,177.694,58980.5,59013.5,58810.5,58834.5
1617294600,241.305,58834.5,58873.0,58678.5,58725.5
1617295500,105.801,58725.5,58806.5,58725.5,58799.5
1617296400,112.465,58799.5,58835.5,58674.5,58764.5
1617297300,73.082,58764.5,58832.5,58666.5,58736.5
1617298200,96.434,58736.5,58757.5,58600.0,58635.0
1617299100,247.157,58635.0,58671.0,58402.0,58578.5
1617300000,121.518,58578.5,58598.5,58421.0,58422.0
1617300900,592.146,58422.0,58767.5,58044.0,58693.0
1617301800,243.469,58693.0,58848.0,58578.5,58675.0
1617302700,124.553,58675.0,58850.5,58650.0,58766.0
1617303600,106.979,58766.0,58907.0,58656.5,58907.0
1617304500,126.413,58907.0,58953.0,58749.0,58788.5
1617305400,91.336,58788.5,58931.5,58768.0,58902.0
1617306300,57.693,58902.0,58984.0,58880.0,58983.5
1617307200,77.691,58983.5,58984.5,58937.0,58973.0
1617308100,171.597,58973.0,59067.5,58790.5,58928.0
1617309000,108.485,58928.0,59027.0,58909.0,58936.5
1617309900,28.331,58936.5,59020.5,58837.0,58906.0
1617310800,40.153,58906.0,58931.0,58820.0,58871.5
1617311700,51.585,58871.5,58871.5,58734.5,58734.5
1617312600,132.049,58734.5,58783.5,58600.0,58611.0
1617313500,58.01,58611.0,58815.5,58611.0,58812.5
1617314400,81.97,58812.5,58935.5,58667.5,58901.0
1617315300,85.441,58901.0,58977.5,58856.0,58879.0
1617316200,107.686,58879.0,59000.0,58878.5,58999.5
1617317100,74.663,58999.5,59021.5,58910.0,59012.0
1617318000,166.6,59012.0,59075.0,58917.0,58942.0
1617318900,65.08,58942.0,58944.5,58874.5,58899.5
1617319800,53.5,58899.5,58900.0,58844.0,58872.0
1617320700,77.76,58872.0,58873.5,58753.0,58753.0
1617321600,298.967,58753.0,58924.5,58695.0,58870.5
1617322500,90.445,58870.5,58900.0,58666.0,58733.0
1617323400,68.875,58733.0,58800.0,58659.0,58700.5
1617324300,152.321,58700.5,58734.5,58570.0,58729.0
1617325200,79.842,58729.0,58872.0,58729.0,58862.5
1617326100,41.067,58862.5,58880.0,58809.0,58874.5
1617327000,194.098,58874.5,59021.5,58874.0,58987.5
1617327900,77.526,58987.5,59026.0,58893.5,58924.5
1617328800,232.083,58924.5,59249.0,58924.0,59226.0
1617329700,411.602,59226.0,59581.0,59166.0,59525.0
1617330600,1113.832,59525.0,60300.0,59525.0,60065.0
1617331500,734.623,60065.0,60199.0,59283.5,59781.5
1617332400,443.047,59781.5,60120.5,59700.0,59784.0
1617333300,148.967,59784.0,59930.0,59700.0,59920.0
1617334200,111.593,59920.0,59920.5,59752.0,59859.0
1617335100,152.577,59859.0,59945.5,59746.0,59945.5
1617336000,169.419,59945.5,60075.5,59784.0,59811.5
1617336900,133.675,59811.5,59858.5,59690.0,59723.5
1617337800,78.32,59723.5,59797.0,59716.0,59716.0
1617338700,197.582,59716.0,59746.5,59551.0,59651.0
1617339600,150.049,59651.0,59738.5,59520.0,59578.0
1617340500,83.364,59578.0,59686.0,59532.5,59671.5
1617341400,54.252,59671.5,59699.0,59614.0,59614.5
1617342300,88.995,59614.5,59720.0,59614.0,59667.0
1617343200,54.571,59667.0,59745.0,59579.0,59614.0
1617344100,41.723,59614.0,59654.5,59585.0,59643.5
1617345000,154.557,59643.5,59643.5,59464.5,59577.0
1617345900,112.773,59577.0,59733.5,59576.5,59675.5
1617346800,109.954,59675.5,59818.0,59675.0,59750.0
1617347700,45.13,59750.0,59821.0,59720.0,59821.0
1617348600,99.682,59821.0,59825.5,59631.0,59647.0
1617349500,113.253,59647.0,59687.0,59582.0,59582.0
1617350400,101.998,59582.0,59761.0,59572.0,59573.5
1617351300,64.405,59573.5,59710.0,59573.0,59638.0
1617352200,68.233,59638.0,59710.0,59600.0,59647.5
1617353100,44.906,59647.5,59663.0,59600.0,59632.0
1617354000,86.604,59632.0,59632.0,59514.0,59514.5
1617354900,196.967,59514.5,59580.0,59340.0,59569.5
1617355800,89.599,59569.5,59731.0,59569.5,59706.5
1617356700,67.484,59706.5,59764.5,59706.0,59725.5
1617357600,59.392,59725.5,59726.0,59609.0,59609.0
1617358500,66.494,59609.0,59742.0,59609.0,59730.0
1617359400,40.524,59730.0,59767.0,59691.0,59705.5
1617360300,46.097,59705.5,59748.5,59637.0,59748.5
1617361200,57.355,59748.5,59750.0,59672.0,59672.0
1617362100,67.994,59672.5,59740.0,59610.0,59643.0
1617363000,66.906,59643.0,59665.0,59570.0,59664.5
1617363900,45.258,59664.5,59681.0,59637.5,59649.5
1617364800,218.137,59649.5,59700.0,59385.0,59436.5
1617365700,96.006,59436.5,59550.5,59426.5,59500.0
1617366600,61.79,59501.5,59602.5,59501.5,59526.5
1617367500,43.631,59526.5,59600.0,59510.0,59600.0
1617368400,76.27,59600.0,59600.0,59410.0,59460.5
1617369300,96.726,59460.5,59479.0,59381.0,59438.0
1617370200,351.407,59438.0,59438.0,59136.0,59300.0
1617371100,91.568,59300.0,59319.5,59215.5,59317.5
1617372000,166.075,59317.5,59457.0,59284.5,59442.0
1617372900,79.214,59442.0,59442.0,59320.0,59320.0
1617373800,239.083,59320.0,59439.0,59200.0,59438.5
1617374700,127.174,59438.5,59496.0,59390.0,59486.0
1617375600,255.704,59486.0,59697.0,59486.0,59650.5
1617376500,106.256,59650.5,59650.5,59597.0,59612.5
1617377400,128.559,59612.5,59650.0,59500.0,59519.0
1617378300,94.396,59519.0,59554.5,59450.0,59541.0
1617379200,171.802,59541.0,59666.0,59506.5,59506.5
1617380100,137.895,59506.5,59507.0,59391.5,59456.0
1617381000,81.561,59456.0,59506.0,59401.0,59505.5
1617381900,140.665,59505.5,59505.5,59300.0,59375.5
1617382800,111.339,59375.5,59377.0,59238.5,59251.5
1617383700,94.726,59251.5,59338.5,59250.5,59313.0
1617384600,40.79,59313.0,59326.5,59253.5,59289.5
1617385500,105.287,59289.5,59326.5,59250.0,59299.0
1617386400,71.171,59299.0,59374.0,59225.0,59374.0
1617387300,64.0,59374.0,59379.0,59288.5,59297.5
1617388200,37.435,59297.5,59297.5,59243.0,59258.0
1617389100,62.088,59258.0,59258.0,59150.5,59224.0
