,GJGC2,GJGC5,GJGC7,GJGC10,GJGC15,GJGC20,GJGC30,GJGC40
2021/1/12,-0.128,-0.114,-0.08,0.03,0.242,0.414,0.649,0.666
2021/1/13,-0.128,-0.119,-0.084,0.025,0.231,0.405,0.635,0.649
2021/1/14,-0.123,-0.104,-0.079,0.03,0.231,0.41,0.643,0.661
2021/1/15,-0.129,-0.104,-0.079,0.03,0.226,0.414,0.649,0.67
2021/1/18,-0.129,-0.098,-0.069,0.045,0.252,0.438,0.658,0.679
2021/1/19,-0.125,-0.108,-0.079,0.04,0.257,0.443,0.658,0.674
2021/1/20,-0.13,-0.114,-0.089,0.035,0.252,0.447,0.663,0.682
2021/1/21,-0.136,-0.119,-0.089,0.03,0.241,0.432,0.649,0.666
2021/1/22,-0.136,-0.115,-0.079,0.035,0.26,0.447,0.653,0.674
2021/1/25,-0.137,-0.119,-0.079,0.035,0.257,0.447,0.658,0.679
2021/1/26,-0.137,-0.119,-0.089,0.03,0.246,0.432,0.649,0.677
2021/1/27,-0.132,-0.113,-0.084,0.035,0.257,0.442,0.649,0.678
2021/1/28,-0.133,-0.113,-0.084,0.035,0.252,0.442,0.647,0.67
2021/1/29,-0.129,-0.114,-0.074,0.05,0.276,0.456,0.658,0.683
2021/2/1,-0.124,-0.11,-0.069,0.055,0.293,0.466,0.667,0.688
2021/2/2,-0.124,-0.104,-0.069,0.05,0.284,0.471,0.667,0.688
2021/2/3,-0.125,-0.108,-0.069,0.055,0.28,0.462,0.667,0.683
2021/2/4,-0.13,-0.108,-0.065,0.055,0.278,0.452,0.658,0.678
2021/2/5,-0.13,-0.108,-0.059,0.055,0.278,0.447,0.653,0.674
2021/2/8,-0.126,-0.098,-0.044,0.065,0.282,0.457,0.667,0.686
2021/2/9,-0.127,-0.099,-0.044,0.065,0.288,0.462,0.672,0.692
2021/2/10,-0.122,-0.095,-0.044,0.075,0.288,0.466,0.667,0.687
2021/2/12,-0.133,-0.113,-0.06,0.06,0.277,0.462,0.667,0.687
2021/2/15,-0.129,-0.103,-0.045,0.075,0.293,0.476,0.677,0.692
2021/2/16,-0.129,-0.099,-0.045,0.075,0.293,0.476,0.677,0.692
2021/2/17,-0.119,-0.079,-0.022,0.095,0.319,0.49,0.686,0.7
2021/2/18,-0.124,-0.083,-0.029,0.09,0.313,0.485,0.677,0.692
2021/2/19,-0.12,-0.079,-0.017,0.1,0.324,0.495,0.678,0.696
2021/2/22,-0.11,-0.069,-0.004,0.115,0.339,0.519,0.695,0.713
2021/2/24,-0.111,-0.069,-0.008,0.115,0.344,0.528,0.709,0.726
2021/2/25,-0.101,-0.053,0.01,0.14,0.365,0.547,0.741,0.76
2021/2/26,-0.117,-0.053,0.036,0.159,0.38,0.552,0.749,0.772
2021/3/1,-0.119,-0.064,0.019,0.15,0.359,0.528,0.723,0.748
2021/3/2,-0.124,-0.078,-0.009,0.125,0.334,0.505,0.704,0.726
2021/3/3,-0.115,-0.074,-0.009,0.115,0.318,0.485,0.676,0.696
2021/3/4,-0.12,-0.068,0.0001,0.134,0.344,0.514,0.709,0.722
2021/3/5,-0.13,-0.093,-0.044,0.085,0.293,0.471,0.672,0.687
2021/3/8,-0.121,-0.075,-0.009,0.11,0.313,0.485,0.681,0.696
2021/3/9,-0.117,-0.064,-0.003,0.125,0.334,0.509,0.7,0.713
2021/3/10,-0.117,-0.069,-0.009,0.12,0.329,0.509,0.691,0.705
2021/3/11,-0.122,-0.079,-0.023,0.1,0.308,0.48,0.654,0.67
2021/3/12,-0.128,-0.079,-0.023,0.11,0.319,0.49,0.668,0.679
2021/3/15,-0.139,-0.088,-0.023,0.105,0.318,0.49,0.677,0.692
2021/3/16,-0.149,-0.098,-0.033,0.095,0.303,0.48,0.668,0.683
2021/3/17,-0.144,-0.094,-0.033,0.09,0.301,0.48,0.663,0.679
2021/3/18,-0.14,-0.094,-0.029,0.1,0.308,0.485,0.663,0.679
2021/3/19,-0.135,-0.084,-0.019,0.11,0.324,0.504,0.672,0.687
2021/3/22,-0.141,-0.099,-0.044,0.075,0.282,0.461,0.635,0.657
2021/3/23,-0.136,-0.093,-0.042,0.075,0.275,0.447,0.626,0.653
2021/3/24,-0.142,-0.103,-0.058,0.066,0.262,0.44,0.626,0.657
2021/3/25,-0.132,-0.099,-0.05,0.08,0.283,0.457,0.635,0.654
2021/3/26,-0.137,-0.104,-0.052,0.075,0.277,0.457,0.654,0.67
2021/3/29,-0.138,-0.104,-0.063,0.065,0.267,0.447,0.635,0.653
2021/3/30,-0.144,-0.098,-0.04,0.085,0.283,0.457,0.644,0.666
2021/3/31,-0.129,-0.094,-0.034,0.09,0.298,0.476,0.668,0.688
2021/4/1,-0.124,-0.083,-0.014,0.11,0.318,0.495,0.695,0.713
2021/4/2,-0.124,-0.084,-0.019,0.115,0.313,0.49,0.695,0.713
2021/4/5,-0.12,-0.084,-0.009,0.115,0.317,0.49,0.695,0.718
2021/4/6,-0.12,-0.088,-0.023,0.105,0.307,0.476,0.677,0.7
2021/4/7,-0.12,-0.095,-0.028,0.095,0.297,0.456,0.653,0.674
2021/4/8,-0.126,-0.103,-0.029,0.095,0.297,0.466,0.672,0.692
2021/4/9,-0.126,-0.093,-0.024,0.1,0.307,0.471,0.677,0.692
2021/4/12,-0.126,-0.093,-0.025,0.105,0.307,0.481,0.681,0.692
2021/4/13,-0.132,-0.1,-0.023,0.1,0.302,0.471,0.672,0.684
2021/4/14,-0.132,-0.104,-0.038,0.085,0.287,0.456,0.649,0.666
2021/4/15,-0.132,-0.1,-0.034,0.085,0.287,0.456,0.653,0.667
2021/4/16,-0.132,-0.104,-0.034,0.085,0.287,0.452,0.653,0.67
2021/4/19,-0.133,-0.098,-0.039,0.08,0.282,0.447,0.653,0.67
2021/4/20,-0.128,-0.098,-0.037,0.08,0.282,0.437,0.644,0.658
2021/4/21,-0.133,-0.104,-0.053,0.07,0.267,0.432,0.63,0.648
2021/4/22,-0.133,-0.108,-0.058,0.065,0.263,0.432,0.635,0.653
2021/4/23,-0.133,-0.108,-0.054,0.065,0.257,0.432,0.64,0.657
2021/4/26,-0.134,-0.104,-0.047,0.07,0.263,0.437,0.649,0.666
2021/4/27,-0.134,-0.104,-0.043,0.08,0.267,0.447,0.644,0.661
2021/4/28,-0.134,-0.094,-0.034,0.09,0.282,0.456,0.653,0.675
2021/4/30,-0.129,-0.094,-0.034,0.09,0.277,0.456,0.658,0.679
2021/5/6,-0.125,-0.095,-0.04,0.085,0.272,0.452,0.653,0.679
2021/5/7,-0.13,-0.099,-0.044,0.08,0.272,0.452,0.653,0.679
2021/5/10,-0.131,-0.095,-0.038,0.08,0.272,0.447,0.649,0.671
2021/5/11,-0.131,-0.099,-0.044,0.07,0.262,0.437,0.639,0.666
2021/5/12,-0.126,-0.093,-0.039,0.075,0.268,0.437,0.639,0.662
2021/5/13,-0.126,-0.089,-0.023,0.09,0.282,0.46,0.671,0.692
2021/5/14,-0.127,-0.099,-0.035,0.08,0.272,0.442,0.654,0.679
2021/5/17,-0.127,-0.1,-0.039,0.075,0.267,0.441,0.651,0.678
2021/5/18,-0.127,-0.1,-0.039,0.075,0.267,0.442,0.657,0.682
2021/5/19,-0.128,-0.1,-0.045,0.07,0.266,0.441,0.658,0.683
2021/5/20,-0.128,-0.094,-0.033,0.08,0.272,0.447,0.667,0.692
2021/5/21,-0.128,-0.094,-0.039,0.078,0.272,0.451,0.677,0.7
2021/5/24,-0.129,-0.098,-0.043,0.075,0.267,0.447,0.672,0.7
2021/5/25,-0.129,-0.098,-0.049,0.07,0.262,0.442,0.672,0.7
2021/5/26,-0.129,-0.098,-0.049,0.07,0.262,0.442,0.672,0.7
2021/5/27,-0.134,-0.104,-0.053,0.07,0.262,0.442,0.667,0.701
2021/5/28,-0.134,-0.094,-0.039,0.08,0.272,0.452,0.672,0.709
2021/5/31,-0.13,-0.098,-0.042,0.075,0.267,0.447,0.672,0.709
2021/6/1,-0.124,-0.098,-0.044,0.075,0.267,0.447,0.681,0.717
2021/6/2,-0.124,-0.098,-0.044,0.075,0.273,0.457,0.689,0.722
2021/6/3,-0.12,-0.099,-0.044,0.08,0.277,0.457,0.686,0.717
2021/6/4,-0.12,-0.099,-0.038,0.082,0.282,0.457,0.691,0.722
2021/6/7,-0.12,-0.099,-0.048,0.075,0.277,0.457,0.691,0.722
2021/6/8,-0.121,-0.103,-0.054,0.07,0.27,0.446,0.681,0.717
2021/6/9,-0.121,-0.103,-0.064,0.065,0.257,0.432,0.668,0.708
2021/6/10,-0.126,-0.114,-0.08,0.045,0.242,0.422,0.661,0.704
2021/6/11,-0.126,-0.12,-0.09,0.03,0.227,0.412,0.658,0.702
2021/6/14,-0.127,-0.118,-0.084,0.035,0.233,0.418,0.658,0.704
2021/6/15,-0.127,-0.114,-0.079,0.045,0.242,0.432,0.672,0.717
2021/6/16,-0.127,-0.11,-0.076,0.045,0.248,0.442,0.681,0.735
2021/6/17,-0.122,-0.099,-0.058,0.06,0.257,0.447,0.686,0.74
2021/6/18,-0.122,-0.104,-0.065,0.055,0.248,0.432,0.672,0.73
2021/6/21,-0.118,-0.108,-0.079,0.04,0.237,0.428,0.672,0.735
2021/6/22,-0.113,-0.1,-0.069,0.05,0.247,0.432,0.672,0.735
2021/6/23,-0.113,-0.1,-0.069,0.05,0.247,0.428,0.663,0.726
2021/6/24,-0.113,-0.098,-0.064,0.05,0.243,0.425,0.668,0.726
2021/6/25,-0.113,-0.104,-0.069,0.045,0.238,0.428,0.677,0.74
2021/6/28,-0.114,-0.098,-0.064,0.055,0.242,0.432,0.686,0.749
2021/6/29,-0.114,-0.098,-0.07,0.055,0.245,0.437,0.686,0.749
2021/6/30,-0.114,-0.104,-0.07,0.055,0.251,0.442,0.686,0.758
2021/7/1,-0.119,-0.113,-0.084,0.036,0.232,0.428,0.677,0.744
2021/7/2,-0.119,-0.113,-0.09,0.04,0.223,0.418,0.668,0.731
2021/7/5,-0.115,-0.119,-0.101,0.03,0.225,0.413,0.672,0.735
2021/7/6,-0.11,-0.109,-0.09,0.04,0.229,0.418,0.668,0.735
2021/7/7,-0.11,-0.113,-0.11,0.03,0.225,0.413,0.672,0.735
2021/7/8,-0.115,-0.124,-0.125,0.025,0.219,0.408,0.656,0.717
2021/7/9,-0.116,-0.119,-0.111,0.026,0.229,0.417,0.667,0.731
2021/7/12,-0.116,-0.12,-0.11,0.025,0.225,0.413,0.667,0.731
2021/7/13,-0.121,-0.12,-0.114,0.02,0.219,0.403,0.667,0.735
2021/7/14,-0.127,-0.124,-0.12,0.015,0.21,0.4,0.667,0.735
2021/7/15,-0.127,-0.128,-0.125,0.01,0.2,0.38,0.64,0.713
2021/7/16,-0.127,-0.124,-0.116,0.015,0.21,0.395,0.644,0.714
2021/7/19,-0.133,-0.128,-0.124,0.014,0.208,0.395,0.649,0.717
2021/7/20,-0.133,-0.134,-0.135,0.01,0.2,0.39,0.642,0.713
2021/7/21,-0.133,-0.134,-0.13,0.01,0.21,0.4,0.658,0.731
2021/7/26,-0.134,-0.135,-0.13,0.01,0.205,0.395,0.649,0.727
2021/7/27,-0.129,-0.129,-0.119,0.015,0.214,0.4,0.653,0.735
2021/7/28,-0.129,-0.129,-0.125,0.011,0.21,0.395,0.644,0.727
2021/7/29,-0.129,-0.129,-0.12,0.016,0.21,0.391,0.64,0.718
2021/7/30,-0.124,-0.123,-0.12,0.016,0.2,0.39,0.639,0.716
2021/8/2,-0.129,-0.123,-0.12,0.015,0.2,0.39,0.639,0.722
2021/8/3,-0.125,-0.129,-0.13,0.005,0.19,0.381,0.635,0.72
2021/8/4,-0.13,-0.133,-0.135,0.0001,0.185,0.375,0.63,0.718
2021/8/5,-0.135,-0.134,-0.124,0.005,0.191,0.381,0.636,0.723
2021/8/6,-0.135,-0.13,-0.12,0.01,0.2,0.39,0.639,0.723
2021/8/10,-0.131,-0.124,-0.104,0.02,0.21,0.4,0.644,0.727
2021/8/11,-0.131,-0.12,-0.094,0.035,0.224,0.409,0.653,0.731
2021/8/12,-0.131,-0.124,-0.11,0.02,0.215,0.404,0.644,0.718
2021/8/13,-0.137,-0.124,-0.11,0.02,0.215,0.405,0.649,0.727
2021/8/16,-0.137,-0.128,-0.125,0.01,0.205,0.395,0.644,0.722
2021/8/17,-0.142,-0.134,-0.13,0.005,0.2,0.394,0.639,0.718
2021/8/18,-0.143,-0.135,-0.124,0.01,0.205,0.4,0.649,0.722
2021/8/19,-0.143,-0.128,-0.124,0.01,0.21,0.4,0.649,0.718
2021/8/20,-0.143,-0.129,-0.13,0.005,0.205,0.395,0.649,0.718
2021/8/23,-0.139,-0.125,-0.12,0.015,0.21,0.4,0.649,0.722
2021/8/24,-0.139,-0.119,-0.116,0.015,0.21,0.405,0.654,0.722
2021/8/25,-0.139,-0.119,-0.114,0.017,0.215,0.405,0.649,0.722
2021/8/26,-0.134,-0.119,-0.109,0.015,0.21,0.4,0.64,0.713
2021/8/27,-0.134,-0.115,-0.103,0.02,0.215,0.405,0.644,0.718
2021/8/30,-0.13,-0.119,-0.11,0.015,0.21,0.4,0.649,0.722
2021/8/31,-0.13,-0.119,-0.104,0.02,0.215,0.4,0.649,0.727
2021/9/1,-0.129,-0.109,-0.094,0.025,0.219,0.405,0.649,0.727
2021/9/2,-0.129,-0.109,-0.095,0.029,0.219,0.405,0.642,0.718
2021/9/3,-0.125,-0.105,-0.089,0.035,0.224,0.413,0.649,0.727
2021/9/6,-0.12,-0.099,-0.079,0.04,0.233,0.419,0.658,0.731
2021/9/7,-0.125,-0.099,-0.084,0.035,0.229,0.419,0.658,0.735
2021/9/8,-0.126,-0.099,-0.08,0.04,0.234,0.429,0.666,0.74
2021/9/9,-0.126,-0.103,-0.08,0.035,0.234,0.424,0.658,0.731
2021/9/10,-0.126,-0.103,-0.08,0.04,0.234,0.424,0.654,0.727
2021/9/13,-0.126,-0.103,-0.078,0.04,0.234,0.424,0.654,0.722
2021/9/14,-0.127,-0.103,-0.074,0.04,0.229,0.419,0.649,0.718
2021/9/15,-0.132,-0.11,-0.084,0.03,0.219,0.414,0.649,0.718
2021/9/16,-0.127,-0.103,-0.079,0.04,0.229,0.419,0.649,0.718
2021/9/17,-0.127,-0.099,-0.075,0.045,0.24,0.429,0.654,0.722
2021/9/21,-0.133,-0.104,-0.083,0.035,0.234,0.424,0.654,0.726
2021/9/22,-0.133,-0.108,-0.085,0.031,0.229,0.424,0.654,0.726
2021/9/24,-0.129,-0.093,-0.064,0.05,0.244,0.438,0.672,0.744
2021/9/27,-0.129,-0.094,-0.064,0.05,0.248,0.448,0.681,0.753
2021/9/28,-0.129,-0.083,-0.044,0.071,0.267,0.457,0.691,0.766
2021/9/29,-0.124,-0.083,-0.048,0.065,0.259,0.448,0.677,0.751
2021/9/30,-0.124,-0.083,-0.044,0.065,0.259,0.443,0.672,0.744
2021/10/1,-0.124,-0.098,-0.058,0.05,0.239,0.424,0.658,0.735
