,GJGC7,GJGC20,GJGC40
2017/1/4,-0.051,0.595,0.813
2017/1/5,-0.035,0.609,0.834
2017/1/6,-0.035,0.589,0.809
2017/1/10,-0.04,0.599,0.817
2017/1/11,-0.045,0.613,0.834
2017/1/12,-0.05,0.594,0.813
2017/1/13,-0.045,0.59,0.809
2017/1/16,-0.045,0.593,0.813
2017/1/17,-0.05,0.585,0.813
2017/1/18,-0.044,0.581,0.809
2017/1/19,-0.024,0.609,0.842
2017/1/20,-0.034,0.628,0.87
2017/1/23,-0.04,0.619,0.862
2017/1/24,-0.055,0.614,0.866
2017/1/25,-0.024,0.624,0.878
2017/1/26,0.0001,0.652,0.91
2017/1/27,-0.014,0.647,0.906
2017/1/30,-0.005,0.647,0.906
2017/2/1,0.009,0.66,0.898
2017/2/2,0.015,0.68,0.921
2017/2/3,0.011,0.68,0.921
2017/2/6,0.03,0.708,0.957
2017/2/7,0.021,0.708,0.957
2017/2/8,0.015,0.708,0.96
2017/2/9,-0.009,0.675,0.933
2017/2/10,-0.003,0.661,0.918
2017/2/13,0.001,0.671,0.925
2017/2/15,-0.004,0.689,0.953
2017/2/16,0.0001,0.694,0.964
2017/2/17,-0.004,0.698,0.972
2017/2/20,-0.008,0.698,0.972
2017/2/21,-0.009,0.699,0.972
2017/2/22,-0.02,0.684,0.957
2017/2/24,-0.045,0.643,0.914
2017/2/27,-0.064,0.619,0.874
2017/2/28,-0.065,0.623,0.87
2017/3/1,-0.055,0.646,0.906
2017/3/2,-0.055,0.671,0.933
2017/3/3,-0.065,0.652,0.922
2017/3/6,-0.066,0.638,0.906
2017/3/7,-0.074,0.647,0.929
2017/3/8,-0.065,0.66,0.941
2017/3/9,-0.04,0.661,0.941
2017/3/10,-0.043,0.67,0.953
2017/3/13,-0.04,0.667,0.957
2017/3/14,-0.044,0.661,0.961
2017/3/15,-0.035,0.667,0.953
2017/3/16,-0.054,0.644,0.93
2017/3/17,-0.055,0.652,0.937
2017/3/21,-0.065,0.648,0.941
2017/3/22,-0.078,0.638,0.929
2017/3/23,-0.085,0.643,0.929
2017/3/24,-0.076,0.643,0.934
2017/3/27,-0.081,0.638,0.933
2017/3/28,-0.081,0.63,0.926
2017/3/29,-0.077,0.62,0.922
2017/3/30,-0.066,0.629,0.933
2017/3/31,-0.059,0.633,0.949
2017/4/3,-0.05,0.638,0.953
2017/4/4,-0.05,0.638,0.965
2017/4/5,-0.054,0.646,0.976
2017/4/6,-0.055,0.628,0.953
2017/4/7,-0.071,0.619,0.945
2017/4/10,-0.065,0.624,0.953
2017/4/11,-0.076,0.615,0.945
2017/4/12,-0.097,0.591,0.922
2017/4/13,-0.095,0.586,0.906
2017/4/14,-0.112,0.566,0.882
2017/4/17,-0.122,0.552,0.862
2017/4/18,-0.112,0.575,0.89
2017/4/19,-0.121,0.561,0.882
2017/4/20,-0.116,0.553,0.878
2017/4/21,-0.111,0.552,0.882
2017/4/24,-0.102,0.566,0.898
2017/4/25,-0.111,0.562,0.902
2017/4/26,-0.106,0.576,0.914
2017/4/27,-0.106,0.575,0.918
2017/4/28,-0.112,0.557,0.906
2017/5/1,-0.111,0.562,0.91
2017/5/2,-0.1,0.566,0.914
2017/5/8,-0.091,0.581,0.926
2017/5/9,-0.086,0.59,0.941
2017/5/10,-0.075,0.595,0.941
2017/5/11,-0.065,0.61,0.961
2017/5/12,-0.074,0.605,0.965
2017/5/15,-0.075,0.59,0.957
2017/5/16,-0.066,0.6,0.965
2017/5/17,-0.065,0.595,0.961
2017/5/18,-0.059,0.572,0.938
2017/5/19,-0.065,0.561,0.926
2017/5/22,-0.06,0.571,0.938
2017/5/23,-0.065,0.567,0.926
2017/5/24,-0.06,0.572,0.93
2017/5/25,-0.06,0.576,0.942
2017/5/26,-0.075,0.558,0.939
2017/5/29,-0.07,0.566,0.948
2017/5/30,-0.075,0.562,0.943
2017/5/31,-0.071,0.566,0.943
2017/6/1,-0.074,0.576,0.961
2017/6/2,-0.076,0.571,0.96
2017/6/5,-0.075,0.566,0.956
2017/6/6,-0.081,0.562,0.96
2017/6/7,-0.076,0.553,0.952
2017/6/8,-0.05,0.586,0.995
2017/6/9,-0.065,0.566,0.982
2017/6/12,-0.055,0.571,0.991
2017/6/13,-0.045,0.566,0.978
2017/6/14,-0.044,0.571,0.969
2017/6/15,-0.051,0.557,0.956
2017/6/16,-0.047,0.562,0.969
2017/6/19,-0.049,0.562,0.973
2017/6/20,-0.044,0.557,0.965
2017/6/21,-0.044,0.557,0.956
2017/6/22,-0.045,0.552,0.948
2017/6/23,-0.05,0.562,0.96
2017/6/26,-0.05,0.562,0.973
2017/6/27,-0.06,0.557,0.969
2017/6/28,-0.054,0.567,0.982
2017/6/29,-0.049,0.562,0.978
2017/6/30,-0.019,0.59,1.012
2017/7/3,-0.025,0.595,1.016
2017/7/4,-0.009,0.595,1.02
2017/7/5,0.006,0.6,1.029
2017/7/6,0.025,0.614,1.05
2017/7/7,0.02,0.613,1.05
2017/7/10,0.021,0.619,1.054
2017/7/11,0.021,0.633,1.067
2017/7/12,0.01,0.624,1.058
2017/7/13,0.0001,0.595,1.029
2017/7/14,0.0001,0.595,1.037
2017/7/18,-0.013,0.582,1.033
2017/7/19,-0.008,0.586,1.037
2017/7/20,-0.008,0.586,1.037
2017/7/21,-0.014,0.586,1.037
2017/7/24,-0.019,0.586,1.046
2017/7/25,-0.019,0.581,1.033
2017/7/26,-0.004,0.59,1.041
2017/7/27,-0.008,0.581,1.041
2017/7/28,-0.009,0.582,1.05
2017/7/31,-0.009,0.586,1.058
2017/8/1,-0.004,0.587,1.062
2017/8/2,-0.005,0.577,1.062
2017/8/3,-0.008,0.571,1.054
2017/8/4,-0.014,0.571,1.054
2017/8/7,-0.012,0.576,1.063
2017/8/8,-0.013,0.576,1.063
2017/8/9,-0.025,0.562,1.046
2017/8/10,-0.029,0.562,1.037
2017/8/14,-0.034,0.557,1.029
2017/8/15,-0.044,0.558,1.033
2017/8/16,-0.055,0.566,1.05
2017/8/17,-0.044,0.566,1.046
2017/8/18,-0.055,0.562,1.037
2017/8/21,-0.06,0.552,1.029
2017/8/22,-0.055,0.543,1.02
